Rank,Name,Industry,Revenue ($ Mil),Revenue growth,number of Employees,Headquarters
1,Walmart,Retail,"611,289",6.7%,2100000,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"513,983",9.4%,1540000,"Seattle, Washington"
3,ExxonMobil,Petroleum industry,"413,680",44.8%,62000,"Spring, Texas"
4,Apple,Electronics industry,"394,328",7.8%,164000,"Cupertino, California"
5,UnitedHealth Group,Healthcare,"324,162",12.7%,400000,"Minnetonka, Minnesota"
6,CVS Health,Healthcare,"322,467",10.4%,259500,"Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,383000,"Omaha, Nebraska"
8,Alphabet,Technology and cloud computing,"282,836",9.8%,156000,"Mountain View, California"
9,McKesson Corporation,Health,"276,711",4.8%,48500,"Irving, Texas"
10,Chevron Corporation,Petroleum industry,"246,252",51.6%,43846,"San Ramon, California"
11,Cencora,Pharmacy wholesale,"238,587",11.5%,41500,"Chesterbrook, Pennsylvania"
12,Costco,Retail,"226,954",15.8%,304000,"Issaquah, Washington"
13,Microsoft,Technology and cloud computing,"198,270",18.0%,221000,"Redmond, Washington"
14,Cardinal Health,Healthcare,"181,364",11.6%,46035,"Dublin, Ohio"
15,Cigna,Health insurance,"180,516",3.7%,70231,"Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,17800,"Findlay, Ohio"
17,Phillips 66,Petroleum industry,"175,702",53.0%,13000,"Houston, Texas"
18,Valero Energy,Petroleum industry,"171,189",58.0%,9743,"San Antonio, Texas"
19,Ford Motor Company,Automotive industry,"158,057",15.9%,173000,"Dearborn, Michigan"
20,The Home Depot,Retail,"157,403",4.1%,471600,"Atlanta, Georgia"
21,General Motors,Automotive industry,"156,735",23.4%,167000,"Detroit, Michigan"
22,Elevance Health,Healthcare,"156,595",13.0%,102200,"Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,"154,792",21.7%,293723,"New York City, New York"
24,Kroger,Retail,"148,258",7.5%,430000,"Cincinnati, Ohio"
25,Centene,Healthcare,"144,547",14.7%,74300,"St. Louis, Missouri"
26,Verizon Communications,Telecommunications,"136,835",2.4%,117100,"New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,262500,"Deerfield, Illinois"
28,Fannie Mae,Financials,"121,596",19.7%,8000,"Washington, D.C."
