,Year,Population,Yearly % Change,Yearly Change,Median Age,Fertility Rate,Density (P/Km²)
0,2024,8118835999,0.91 %,73524552,30.7,2.31,55
1,2023,8045311447,0.88 %,70206291,30.5,2.31,54
2,2022,7975105156,0.83 %,65810005,30.2,2.31,54
3,2021,7909295151,0.87 %,68342271,30.0,2.32,53
4,2020,7840952880,0.98 %,76001848,29.7,2.35,53
5,2015,7426597537,1.23 %,88198886,28,2.52,50
6,2010,6985603105,1.27 %,85485397,27,2.59,47
7,2005,6558176119,1.30 %,81855429,26,2.62,44
8,2000,6148898975,1.37 %,81135904,25,2.73,41
9,1995,5743219454,1.56 %,85408718,24,2.88,39
10,1990,5316175862,1.80 %,90889050,23,3.31,36
11,1985,4861730613,1.81 %,83544581,22,3.52,33
12,1980,4444007706,1.78 %,74914095,22,3.75,30
13,1975,4069437231,1.95 %,74809379,21,4.08,27
14,1970,3695390336,2.06 %,71655671,20,4.83,25
15,1965,3337111983,2.02 %,63575710,21,5.08,22
16,1960,3019233434,1.91 %,54632259,21,4.70,20
17,1955,2746072141,1.90 %,49349997,22,5.01,18
